config_id,avg_score,metric,lr,weight_decay,num_layers,dropout_ratio
0,0.25396825396825395,micro_f1,0.0001,0.001,2,0.1
1,0.2506265664160401,micro_f1,0.0001,0.001,2,0.3
2,0.26148705096073516,micro_f1,0.0001,0.001,2,0.5
3,0.2623224728487886,micro_f1,0.0001,0.001,3,0.1
4,0.2681704260651629,micro_f1,0.0001,0.001,3,0.3
5,0.25396825396825395,micro_f1,0.0001,0.001,3,0.5
6,0.24812030075187966,micro_f1,0.0001,0.001,4,0.1
7,0.24394319131161235,micro_f1,0.0001,0.001,4,0.3
8,0.24394319131161235,micro_f1,0.0001,0.001,4,0.5
9,0.2698412698412698,micro_f1,0.0001,0.005,2,0.1
10,0.25647451963241436,micro_f1,0.0001,0.005,2,0.3
11,0.24728487886382622,micro_f1,0.0001,0.005,2,0.5
12,0.26649958228905596,micro_f1,0.0001,0.005,3,0.1
13,0.2781954887218045,micro_f1,0.0001,0.005,3,0.3
14,0.2548036758563074,micro_f1,0.0001,0.005,3,0.5
15,0.24979114452798665,micro_f1,0.0001,0.005,4,0.1
16,0.2531328320802005,micro_f1,0.0001,0.005,4,0.3
17,0.25563909774436094,micro_f1,0.0001,0.005,4,0.5
18,0.23391812865497075,micro_f1,0.0001,0.01,2,0.1
19,0.2723475355054303,micro_f1,0.0001,0.01,2,0.3
20,0.24561403508771928,micro_f1,0.0001,0.01,2,0.5
21,0.227234753550543,micro_f1,0.0001,0.01,3,0.1
22,0.24644945697577278,micro_f1,0.0001,0.01,3,0.3
23,0.23642439431913118,micro_f1,0.0001,0.01,3,0.5
24,0.2548036758563074,micro_f1,0.0001,0.01,4,0.1
25,0.23809523809523805,micro_f1,0.0001,0.01,4,0.3
26,0.24143692564745192,micro_f1,0.0001,0.01,4,0.5
27,0.24060150375939848,micro_f1,0.0005,0.001,2,0.1
28,0.2723475355054303,micro_f1,0.0005,0.001,2,0.3
29,0.2598162071846282,micro_f1,0.0005,0.001,2,0.5
30,0.2573099415204678,micro_f1,0.0005,0.001,3,0.1
