config_id,avg_score,metric,lr,weight_decay,num_layers,dropout_ratio
0,0.26974789915966385,micro_f1,0.0001,0.001,2,0.1
1,0.26638655462184874,micro_f1,0.0001,0.001,2,0.3
2,0.30868347338935576,micro_f1,0.0001,0.001,2,0.5
3,0.30084033613445377,micro_f1,0.0001,0.001,3,0.1
4,0.28403361344537814,micro_f1,0.0001,0.001,3,0.3
5,0.3095238095238095,micro_f1,0.0001,0.001,3,0.5
6,0.25210084033613445,micro_f1,0.0001,0.001,4,0.1
7,0.2647058823529412,micro_f1,0.0001,0.001,4,0.3
8,0.32492997198879553,micro_f1,0.0001,0.001,4,0.5
9,0.25014005602240896,micro_f1,0.0001,0.005,2,0.1
10,0.34313725490196073,micro_f1,0.0001,0.005,2,0.3
11,0.3218487394957983,micro_f1,0.0001,0.005,2,0.5
12,0.3232492997198879,micro_f1,0.0001,0.005,3,0.1
13,0.26666666666666666,micro_f1,0.0001,0.005,3,0.3
14,0.32941176470588235,micro_f1,0.0001,0.005,3,0.5
15,0.29103641456582635,micro_f1,0.0001,0.005,4,0.1
16,0.27563025210084036,micro_f1,0.0001,0.005,4,0.3
17,0.2795518207282914,micro_f1,0.0001,0.005,4,0.5
18,0.2896358543417367,micro_f1,0.0001,0.01,2,0.1
19,0.2215686274509804,micro_f1,0.0001,0.01,2,0.3
20,0.3352941176470588,micro_f1,0.0001,0.01,2,0.5
21,0.26106442577030814,micro_f1,0.0001,0.01,3,0.1
22,0.2759103641456582,micro_f1,0.0001,0.01,3,0.3
23,0.2535014005602241,micro_f1,0.0001,0.01,3,0.5
24,0.27282913165266104,micro_f1,0.0001,0.01,4,0.1
25,0.28907563025210087,micro_f1,0.0001,0.01,4,0.3
26,0.2103641456582633,micro_f1,0.0001,0.01,4,0.5
27,0.2661064425770308,micro_f1,0.0005,0.001,2,0.1
28,0.2619047619047619,micro_f1,0.0005,0.001,2,0.3
29,0.2624649859943977,micro_f1,0.0005,0.001,2,0.5
30,0.2560224089635854,micro_f1,0.0005,0.001,3,0.1
31,0.2515406162464986,micro_f1,0.0005,0.001,3,0.3
32,0.2515406162464986,micro_f1,0.0005,0.001,3,0.5
33,0.2515406162464986,micro_f1,0.0005,0.001,4,0.1
34,0.2515406162464986,micro_f1,0.0005,0.001,4,0.3
35,0.2515406162464986,micro_f1,0.0005,0.001,4,0.5
36,0.3680672268907563,micro_f1,0.0005,0.005,2,0.1
37,0.27394957983193274,micro_f1,0.0005,0.005,2,0.3
38,0.36638655462184877,micro_f1,0.0005,0.005,2,0.5
39,0.31120448179271704,micro_f1,0.0005,0.005,3,0.1
40,0.3425770308123249,micro_f1,0.0005,0.005,3,0.3
41,0.38319327731092434,micro_f1,0.0005,0.005,3,0.5
42,0.3893557422969187,micro_f1,0.0005,0.005,4,0.1
43,0.4184873949579832,micro_f1,0.0005,0.005,4,0.3
44,0.457703081232493,micro_f1,0.0005,0.005,4,0.5
45,0.37787114845938374,micro_f1,0.0005,0.01,2,0.1
46,0.30952380952380953,micro_f1,0.0005,0.01,2,0.3
