config_id,avg_score,metric,lr,weight_decay,num_layers,dropout_ratio
0,0.26463104325699743,micro_f1,0.0001,0.001,2,0.1
1,0.3002544529262086,micro_f1,0.0001,0.001,2,0.3
2,0.29770992366412213,micro_f1,0.0001,0.001,2,0.5
3,0.2544529262086514,micro_f1,0.0001,0.001,3,0.1
4,0.24427480916030533,micro_f1,0.0001,0.001,3,0.3
5,0.2544529262086514,micro_f1,0.0001,0.001,3,0.5
6,0.25190839694656486,micro_f1,0.0001,0.001,4,0.1
7,0.2544529262086514,micro_f1,0.0001,0.001,4,0.3
8,0.2595419847328244,micro_f1,0.0001,0.001,4,0.5
9,0.2900763358778626,micro_f1,0.0001,0.005,2,0.1
10,0.2875318066157761,micro_f1,0.0001,0.005,2,0.3
11,0.2595419847328244,micro_f1,0.0001,0.005,2,0.5
12,0.22646310432569972,micro_f1,0.0001,0.005,3,0.1
13,0.2900763358778626,micro_f1,0.0001,0.005,3,0.3
14,0.2544529262086514,micro_f1,0.0001,0.005,3,0.5
15,0.3689567430025445,micro_f1,0.0001,0.005,4,0.1
16,0.23409669211195927,micro_f1,0.0001,0.005,4,0.3
17,0.23918575063613232,micro_f1,0.0001,0.005,4,0.5
18,0.26717557251908397,micro_f1,0.0001,0.01,2,0.1
19,0.2569974554707379,micro_f1,0.0001,0.01,2,0.3
20,0.26972010178117045,micro_f1,0.0001,0.01,2,0.5
21,0.3180661577608143,micro_f1,0.0001,0.01,3,0.1
22,0.22391857506361323,micro_f1,0.0001,0.01,3,0.3
23,0.25699745547073793,micro_f1,0.0001,0.01,3,0.5
24,0.2697201017811705,micro_f1,0.0001,0.01,4,0.1
25,0.2569974554707379,micro_f1,0.0001,0.01,4,0.3
26,0.24173027989821882,micro_f1,0.0001,0.01,4,0.5
27,0.44529262086513993,micro_f1,0.0005,0.001,2,0.1
28,0.44274809160305345,micro_f1,0.0005,0.001,2,0.3
29,0.4707379134860051,micro_f1,0.0005,0.001,2,0.5
30,0.3002544529262087,micro_f1,0.0005,0.001,3,0.1
31,0.36386768447837153,micro_f1,0.0005,0.001,3,0.3
32,0.36132315521628494,micro_f1,0.0005,0.001,3,0.5
33,0.49872773536895676,micro_f1,0.0005,0.001,4,0.1
34,0.45547073791348597,micro_f1,0.0005,0.001,4,0.3
35,0.4681933842239186,micro_f1,0.0005,0.001,4,0.5
36,0.3765903307888041,micro_f1,0.0005,0.005,2,0.1
37,0.35877862595419846,micro_f1,0.0005,0.005,2,0.3
38,0.33078880407124683,micro_f1,0.0005,0.005,2,0.5
39,0.3867684478371502,micro_f1,0.0005,0.005,3,0.1
40,0.2900763358778626,micro_f1,0.0005,0.005,3,0.3
41,0.3791348600508906,micro_f1,0.0005,0.005,3,0.5
42,0.27989821882951654,micro_f1,0.0005,0.005,4,0.1
43,0.26463104325699743,micro_f1,0.0005,0.005,4,0.3
44,0.24427480916030533,micro_f1,0.0005,0.005,4,0.5
45,0.2519083969465649,micro_f1,0.0005,0.01,2,0.1
46,0.23409669211195927,micro_f1,0.0005,0.01,2,0.3
47,0.22391857506361323,micro_f1,0.0005,0.01,2,0.5
48,0.26208651399491095,micro_f1,0.0005,0.01,3,0.1
49,0.26717557251908397,micro_f1,0.0005,0.01,3,0.3
50,0.24173027989821882,micro_f1,0.0005,0.01,3,0.5
51,0.24936386768447835,micro_f1,0.0005,0.01,4,0.1
52,0.2544529262086514,micro_f1,0.0005,0.01,4,0.3
53,0.24427480916030533,micro_f1,0.0005,0.01,4,0.5
54,0.549618320610687,micro_f1,0.001,0.001,2,0.1
55,0.5419847328244275,micro_f1,0.001,0.001,2,0.3
56,0.5267175572519084,micro_f1,0.001,0.001,2,0.5
57,0.26717557251908397,micro_f1,0.001,0.001,3,0.1
58,0.26717557251908397,micro_f1,0.001,0.001,3,0.3
59,0.3231552162849873,micro_f1,0.001,0.001,3,0.5
60,0.5038167938931298,micro_f1,0.001,0.001,4,0.1
61,0.549618320610687,micro_f1,0.001,0.001,4,0.3
62,0.5241730279898219,micro_f1,0.001,0.001,4,0.5
63,0.49109414758269715,micro_f1,0.001,0.005,2,0.1
64,0.47582697201017815,micro_f1,0.001,0.005,2,0.3
65,0.49363867684478374,micro_f1,0.001,0.005,2,0.5
66,0.5750636132315521,micro_f1,0.001,0.005,3,0.1
67,0.5114503816793894,micro_f1,0.001,0.005,3,0.3
68,0.5852417302798981,micro_f1,0.001,0.005,3,0.5
69,0.5190839694656488,micro_f1,0.001,0.005,4,0.1
70,0.5470737913486005,micro_f1,0.001,0.005,4,0.3
71,0.5318066157760813,micro_f1,0.001,0.005,4,0.5
72,0.2951653944020356,micro_f1,0.001,0.01,2,0.1
73,0.2595419847328244,micro_f1,0.001,0.01,2,0.3
74,0.32061068702290074,micro_f1,0.001,0.01,2,0.5
75,0.2544529262086514,micro_f1,0.001,0.01,3,0.1
76,0.24427480916030533,micro_f1,0.001,0.01,3,0.3
77,0.282442748091603,micro_f1,0.001,0.01,3,0.5
78,0.24427480916030533,micro_f1,0.001,0.01,4,0.1
79,0.24681933842239187,micro_f1,0.001,0.01,4,0.3
80,0.24427480916030533,micro_f1,0.001,0.01,4,0.5
81,0.5826972010178118,micro_f1,0.005,0.001,2,0.1
82,0.5750636132315522,micro_f1,0.005,0.001,2,0.3
83,0.5547073791348601,micro_f1,0.005,0.001,2,0.5
84,0.40966921119592875,micro_f1,0.005,0.001,3,0.1
85,0.4045801526717557,micro_f1,0.005,0.001,3,0.3
86,0.40966921119592875,micro_f1,0.005,0.001,3,0.5
87,0.6183206106870228,micro_f1,0.005,0.001,4,0.1
88,0.6259541984732824,micro_f1,0.005,0.001,4,0.3
89,0.6157760814249363,micro_f1,0.005,0.001,4,0.5
90,0.628498727735369,micro_f1,0.005,0.005,2,0.1
91,0.628498727735369,micro_f1,0.005,0.005,2,0.3
92,0.6132315521628499,micro_f1,0.005,0.005,2,0.5
93,0.648854961832061,micro_f1,0.005,0.005,3,0.1
94,0.6005089058524173,micro_f1,0.005,0.005,3,0.3
95,0.5903307888040713,micro_f1,0.005,0.005,3,0.5
96,0.648854961832061,micro_f1,0.005,0.005,4,0.1
97,0.6564885496183206,micro_f1,0.005,0.005,4,0.3
98,0.6310432569974554,micro_f1,0.005,0.005,4,0.5
99,0.6157760814249365,micro_f1,0.005,0.01,2,0.1
100,0.628498727735369,micro_f1,0.005,0.01,2,0.3
101,0.6259541984732825,micro_f1,0.005,0.01,2,0.5
102,0.6157760814249365,micro_f1,0.005,0.01,3,0.1
103,0.623409669211196,micro_f1,0.005,0.01,3,0.3
