config_id,avg_score,metric,lr,weight_decay,num_layers,dropout_ratio
0,0.334453781512605,micro_f1,0.0001,0.001,2,0.1
1,0.2605042016806723,micro_f1,0.0001,0.001,2,0.3
2,0.3084033613445378,micro_f1,0.0001,0.001,2,0.5
3,0.25518207282913163,micro_f1,0.0001,0.001,3,0.1
4,0.24173669467787115,micro_f1,0.0001,0.001,3,0.3
5,0.22857142857142856,micro_f1,0.0001,0.001,3,0.5
6,0.24285714285714285,micro_f1,0.0001,0.001,4,0.1
7,0.24901960784313726,micro_f1,0.0001,0.001,4,0.3
8,0.2969187675070028,micro_f1,0.0001,0.001,4,0.5
9,0.29635854341736695,micro_f1,0.0001,0.005,2,0.1
10,0.22436974789915967,micro_f1,0.0001,0.005,2,0.3
11,0.2907563025210084,micro_f1,0.0001,0.005,2,0.5
12,0.2515406162464986,micro_f1,0.0001,0.005,3,0.1
13,0.3190476190476191,micro_f1,0.0001,0.005,3,0.3
14,0.22128851540616246,micro_f1,0.0001,0.005,3,0.5
15,0.2669467787114846,micro_f1,0.0001,0.005,4,0.1
16,0.2971988795518207,micro_f1,0.0001,0.005,4,0.3
17,0.22240896358543416,micro_f1,0.0001,0.005,4,0.5
18,0.22941176470588234,micro_f1,0.0001,0.01,2,0.1
19,0.29635854341736695,micro_f1,0.0001,0.01,2,0.3
20,0.28095238095238095,micro_f1,0.0001,0.01,2,0.5
21,0.23753501400560226,micro_f1,0.0001,0.01,3,0.1
22,0.2495798319327731,micro_f1,0.0001,0.01,3,0.3
23,0.2683473389355742,micro_f1,0.0001,0.01,3,0.5
24,0.22717086834733893,micro_f1,0.0001,0.01,4,0.1
25,0.19439775910364146,micro_f1,0.0001,0.01,4,0.3
26,0.26554621848739496,micro_f1,0.0001,0.01,4,0.5
27,0.2672268907563025,micro_f1,0.0005,0.001,2,0.1
28,0.26554621848739496,micro_f1,0.0005,0.001,2,0.3
29,0.27170868347338933,micro_f1,0.0005,0.001,2,0.5
30,0.2588235294117647,micro_f1,0.0005,0.001,3,0.1
31,0.2593837535014006,micro_f1,0.0005,0.001,3,0.3
32,0.25994397759103643,micro_f1,0.0005,0.001,3,0.5
33,0.25518207282913163,micro_f1,0.0005,0.001,4,0.1
34,0.2546218487394958,micro_f1,0.0005,0.001,4,0.3
35,0.2593837535014005,micro_f1,0.0005,0.001,4,0.5
36,0.4100840336134454,micro_f1,0.0005,0.005,2,0.1
37,0.4218487394957983,micro_f1,0.0005,0.005,2,0.3
38,0.41904761904761906,micro_f1,0.0005,0.005,2,0.5
39,0.45826330532212883,micro_f1,0.0005,0.005,3,0.1
40,0.4380952380952381,micro_f1,0.0005,0.005,3,0.3
41,0.45742296918767505,micro_f1,0.0005,0.005,3,0.5
42,0.3025210084033614,micro_f1,0.0005,0.005,4,0.1
43,0.4182072829131653,micro_f1,0.0005,0.005,4,0.3
44,0.2823529411764706,micro_f1,0.0005,0.005,4,0.5
45,0.3100840336134454,micro_f1,0.0005,0.01,2,0.1
46,0.3204481792717087,micro_f1,0.0005,0.01,2,0.3
47,0.3131652661064426,micro_f1,0.0005,0.01,2,0.5
48,0.28123249299719894,micro_f1,0.0005,0.01,3,0.1
49,0.2518207282913165,micro_f1,0.0005,0.01,3,0.3
50,0.21988795518207283,micro_f1,0.0005,0.01,3,0.5
51,0.2893557422969188,micro_f1,0.0005,0.01,4,0.1
52,0.2798319327731092,micro_f1,0.0005,0.01,4,0.3
53,0.21904761904761905,micro_f1,0.0005,0.01,4,0.5
54,0.28403361344537814,micro_f1,0.001,0.001,2,0.1
55,0.2823529411764706,micro_f1,0.001,0.001,2,0.3
56,0.2781512605042017,micro_f1,0.001,0.001,2,0.5
57,0.26442577030812325,micro_f1,0.001,0.001,3,0.1
58,0.2635854341736695,micro_f1,0.001,0.001,3,0.3
59,0.26974789915966385,micro_f1,0.001,0.001,3,0.5
60,0.29831932773109243,micro_f1,0.001,0.001,4,0.1
61,0.2764705882352941,micro_f1,0.001,0.001,4,0.3
62,0.28459383753501405,micro_f1,0.001,0.001,4,0.5
63,0.373109243697479,micro_f1,0.001,0.005,2,0.1
64,0.38291316526610647,micro_f1,0.001,0.005,2,0.3
65,0.39243697478991596,micro_f1,0.001,0.005,2,0.5
66,0.3537815126050421,micro_f1,0.001,0.005,3,0.1
67,0.34845938375350133,micro_f1,0.001,0.005,3,0.3
68,0.32492997198879553,micro_f1,0.001,0.005,3,0.5
69,0.40616246498599434,micro_f1,0.001,0.005,4,0.1
70,0.44201680672268906,micro_f1,0.001,0.005,4,0.3
71,0.4089635854341737,micro_f1,0.001,0.005,4,0.5
72,0.31204481792717087,micro_f1,0.001,0.01,2,0.1
73,0.31484593837535013,micro_f1,0.001,0.01,2,0.3
74,0.3238095238095238,micro_f1,0.001,0.01,2,0.5
75,0.29411764705882354,micro_f1,0.001,0.01,3,0.1
76,0.307843137254902,micro_f1,0.001,0.01,3,0.3
77,0.2949579831932773,micro_f1,0.001,0.01,3,0.5
78,0.3036414565826331,micro_f1,0.001,0.01,4,0.1
79,0.32605042016806723,micro_f1,0.001,0.01,4,0.3
80,0.3302521008403361,micro_f1,0.001,0.01,4,0.5
81,0.30448179271708686,micro_f1,0.005,0.001,2,0.1
