config_id,avg_score,metric,lr,weight_decay,num_layers,dropout_ratio
0,0.27989821882951654,micro_f1,0.0001,0.001,2,0.1
1,0.2519083969465649,micro_f1,0.0001,0.001,2,0.3
2,0.3053435114503817,micro_f1,0.0001,0.001,2,0.5
3,0.26208651399491095,micro_f1,0.0001,0.001,3,0.1
4,0.2519083969465649,micro_f1,0.0001,0.001,3,0.3
5,0.24681933842239187,micro_f1,0.0001,0.001,3,0.5
6,0.24681933842239182,micro_f1,0.0001,0.001,4,0.1
7,0.23409669211195927,micro_f1,0.0001,0.001,4,0.3
8,0.24173027989821882,micro_f1,0.0001,0.001,4,0.5
9,0.24173027989821882,micro_f1,0.0001,0.005,2,0.1
10,0.3053435114503817,micro_f1,0.0001,0.005,2,0.3
11,0.272264631043257,micro_f1,0.0001,0.005,2,0.5
12,0.2951653944020356,micro_f1,0.0001,0.005,3,0.1
13,0.22900763358778628,micro_f1,0.0001,0.005,3,0.3
14,0.24173027989821882,micro_f1,0.0001,0.005,3,0.5
15,0.2595419847328244,micro_f1,0.0001,0.005,4,0.1
16,0.24681933842239182,micro_f1,0.0001,0.005,4,0.3
17,0.24173027989821882,micro_f1,0.0001,0.005,4,0.5
18,0.27989821882951654,micro_f1,0.0001,0.01,2,0.1
19,0.23918575063613232,micro_f1,0.0001,0.01,2,0.3
20,0.2697201017811705,micro_f1,0.0001,0.01,2,0.5
21,0.24173027989821882,micro_f1,0.0001,0.01,3,0.1
22,0.23155216284987276,micro_f1,0.0001,0.01,3,0.3
23,0.22646310432569974,micro_f1,0.0001,0.01,3,0.5
24,0.2188295165394402,micro_f1,0.0001,0.01,4,0.1
25,0.24173027989821882,micro_f1,0.0001,0.01,4,0.3
26,0.22900763358778622,micro_f1,0.0001,0.01,4,0.5
27,0.3994910941475827,micro_f1,0.0005,0.001,2,0.1
28,0.4020356234096692,micro_f1,0.0005,0.001,2,0.3
29,0.3893129770992367,micro_f1,0.0005,0.001,2,0.5
30,0.3816793893129771,micro_f1,0.0005,0.001,3,0.1
31,0.366412213740458,micro_f1,0.0005,0.001,3,0.3
32,0.37404580152671757,micro_f1,0.0005,0.001,3,0.5
33,0.32824427480916035,micro_f1,0.0005,0.001,4,0.1
34,0.361323155216285,micro_f1,0.0005,0.001,4,0.3
35,0.3638676844783715,micro_f1,0.0005,0.001,4,0.5
36,0.34860050890585237,micro_f1,0.0005,0.005,2,0.1
37,0.3511450381679389,micro_f1,0.0005,0.005,2,0.3
38,0.3511450381679389,micro_f1,0.0005,0.005,2,0.5
39,0.33078880407124683,micro_f1,0.0005,0.005,3,0.1
40,0.2926208651399491,micro_f1,0.0005,0.005,3,0.3
41,0.3053435114503817,micro_f1,0.0005,0.005,3,0.5
42,0.27735368956743,micro_f1,0.0005,0.005,4,0.1
43,0.2595419847328244,micro_f1,0.0005,0.005,4,0.3
44,0.29770992366412213,micro_f1,0.0005,0.005,4,0.5
45,0.3511450381679389,micro_f1,0.0005,0.01,2,0.1
46,0.3053435114503817,micro_f1,0.0005,0.01,2,0.3
47,0.3231552162849873,micro_f1,0.0005,0.01,2,0.5
48,0.3002544529262086,micro_f1,0.0005,0.01,3,0.1
49,0.24936386768447835,micro_f1,0.0005,0.01,3,0.3
50,0.2875318066157761,micro_f1,0.0005,0.01,3,0.5
51,0.24427480916030533,micro_f1,0.0005,0.01,4,0.1
52,0.2875318066157761,micro_f1,0.0005,0.01,4,0.3
53,0.2697201017811705,micro_f1,0.0005,0.01,4,0.5
54,0.39440203562340964,micro_f1,0.001,0.001,2,0.1
55,0.3969465648854962,micro_f1,0.001,0.001,2,0.3
56,0.41475826972010177,micro_f1,0.001,0.001,2,0.5
57,0.40712468193384227,micro_f1,0.001,0.001,3,0.1
58,0.44529262086513993,micro_f1,0.001,0.001,3,0.3
59,0.3969465648854962,micro_f1,0.001,0.001,3,0.5
60,0.4020356234096692,micro_f1,0.001,0.001,4,0.1
61,0.37404580152671757,micro_f1,0.001,0.001,4,0.3
62,0.371501272264631,micro_f1,0.001,0.001,4,0.5
63,0.356234096692112,micro_f1,0.001,0.005,2,0.1
64,0.35877862595419846,micro_f1,0.001,0.005,2,0.3
65,0.361323155216285,micro_f1,0.001,0.005,2,0.5
66,0.3689567430025445,micro_f1,0.001,0.005,3,0.1
67,0.371501272264631,micro_f1,0.001,0.005,3,0.3
68,0.38167938931297707,micro_f1,0.001,0.005,3,0.5
69,0.3511450381679389,micro_f1,0.001,0.005,4,0.1
70,0.3536895674300255,micro_f1,0.001,0.005,4,0.3
71,0.3460559796437659,micro_f1,0.001,0.005,4,0.5
72,0.3511450381679389,micro_f1,0.001,0.01,2,0.1
73,0.3460559796437659,micro_f1,0.001,0.01,2,0.3
74,0.34860050890585237,micro_f1,0.001,0.01,2,0.5
75,0.3511450381679389,micro_f1,0.001,0.01,3,0.1
76,0.3460559796437659,micro_f1,0.001,0.01,3,0.3
77,0.34860050890585237,micro_f1,0.001,0.01,3,0.5
78,0.3536895674300254,micro_f1,0.001,0.01,4,0.1
79,0.3536895674300254,micro_f1,0.001,0.01,4,0.3
80,0.35877862595419846,micro_f1,0.001,0.01,4,0.5
81,0.5419847328244275,micro_f1,0.005,0.001,2,0.1
82,0.5343511450381678,micro_f1,0.005,0.001,2,0.3
83,0.5063613231552163,micro_f1,0.005,0.001,2,0.5
84,0.5343511450381679,micro_f1,0.005,0.001,3,0.1
85,0.5623409669211196,micro_f1,0.005,0.001,3,0.3
