config_id,avg_score,metric,lr,weight_decay,num_layers,dropout_ratio
0,0.2832080200501253,micro_f1,0.0001,0.001,2,0.1
1,0.25647451963241436,micro_f1,0.0001,0.001,2,0.3
2,0.2431077694235589,micro_f1,0.0001,0.001,2,0.5
3,0.26148705096073516,micro_f1,0.0001,0.001,3,0.1
4,0.3032581453634085,micro_f1,0.0001,0.001,3,0.3
5,0.29156223893065997,micro_f1,0.0001,0.001,3,0.5
6,0.23893065998329155,micro_f1,0.0001,0.001,4,0.1
7,0.2573099415204678,micro_f1,0.0001,0.001,4,0.3
8,0.24812030075187966,micro_f1,0.0001,0.001,4,0.5
9,0.24895572263993315,micro_f1,0.0001,0.005,2,0.1
10,0.24561403508771928,micro_f1,0.0001,0.005,2,0.3
11,0.30492898913951544,micro_f1,0.0001,0.005,2,0.5
12,0.22639933166248957,micro_f1,0.0001,0.005,3,0.1
13,0.26148705096073516,micro_f1,0.0001,0.005,3,0.3
14,0.27151211361737676,micro_f1,0.0001,0.005,3,0.5
15,0.25396825396825395,micro_f1,0.0001,0.005,4,0.1
16,0.2756892230576441,micro_f1,0.0001,0.005,4,0.3
17,0.2322472848788638,micro_f1,0.0001,0.005,4,0.5
18,0.3057644110275689,micro_f1,0.0001,0.01,2,0.1
19,0.2573099415204678,micro_f1,0.0001,0.01,2,0.3
20,0.27652464494569756,micro_f1,0.0001,0.01,2,0.5
21,0.2790309106098579,micro_f1,0.0001,0.01,3,0.1
22,0.2706766917293233,micro_f1,0.0001,0.01,3,0.3
23,0.2781954887218045,micro_f1,0.0001,0.01,3,0.5
24,0.23141186299081032,micro_f1,0.0001,0.01,4,0.1
25,0.2522974101921471,micro_f1,0.0001,0.01,4,0.3
26,0.2673350041771094,micro_f1,0.0001,0.01,4,0.5
27,0.31495405179615704,micro_f1,0.0005,0.001,2,0.1
28,0.3216374269005848,micro_f1,0.0005,0.001,2,0.3
29,0.3216374269005848,micro_f1,0.0005,0.001,2,0.5
30,0.3366750208855472,micro_f1,0.0005,0.001,3,0.1
31,0.3333333333333333,micro_f1,0.0005,0.001,3,0.3
32,0.3383458646616541,micro_f1,0.0005,0.001,3,0.5
33,0.3266499582289056,micro_f1,0.0005,0.001,4,0.1
34,0.3291562238930659,micro_f1,0.0005,0.001,4,0.3
35,0.3441938178780284,micro_f1,0.0005,0.001,4,0.5
36,0.2990810359231412,micro_f1,0.0005,0.005,2,0.1
37,0.3032581453634085,micro_f1,0.0005,0.005,2,0.3
38,0.29991645781119464,micro_f1,0.0005,0.005,2,0.5
39,0.30576441102756896,micro_f1,0.0005,0.005,3,0.1
40,0.2982456140350877,micro_f1,0.0005,0.005,3,0.3
41,0.30743525480367584,micro_f1,0.0005,0.005,3,0.5
42,0.28654970760233917,micro_f1,0.0005,0.005,4,0.1
43,0.29156223893065997,micro_f1,0.0005,0.005,4,0.3
44,0.2890559732664996,micro_f1,0.0005,0.005,4,0.5
45,0.27736006683375103,micro_f1,0.0005,0.01,2,0.1
46,0.26232247284878857,micro_f1,0.0005,0.01,2,0.3
47,0.28404344193817876,micro_f1,0.0005,0.01,2,0.5
48,0.2706766917293233,micro_f1,0.0005,0.01,3,0.1
49,0.2673350041771094,micro_f1,0.0005,0.01,3,0.3
50,0.28404344193817876,micro_f1,0.0005,0.01,3,0.5
51,0.2673350041771094,micro_f1,0.0005,0.01,4,0.1
52,0.26148705096073516,micro_f1,0.0005,0.01,4,0.3
53,0.25647451963241436,micro_f1,0.0005,0.01,4,0.5
54,0.3458646616541354,micro_f1,0.001,0.001,2,0.1
55,0.3467000835421888,micro_f1,0.001,0.001,2,0.3
56,0.3467000835421888,micro_f1,0.001,0.001,2,0.5
57,0.37510442773600666,micro_f1,0.001,0.001,3,0.1
58,0.3533834586466165,micro_f1,0.001,0.001,3,0.3
59,0.37092731829573933,micro_f1,0.001,0.001,3,0.5
60,0.35421888053467,micro_f1,0.001,0.001,4,0.1
61,0.352548036758563,micro_f1,0.001,0.001,4,0.3
62,0.3408521303258145,micro_f1,0.001,0.001,4,0.5
63,0.316624895572264,micro_f1,0.001,0.005,2,0.1
64,0.31746031746031744,micro_f1,0.001,0.005,2,0.3
65,0.31746031746031744,micro_f1,0.001,0.005,2,0.5
66,0.3341687552213868,micro_f1,0.001,0.005,3,0.1
67,0.33583959899749377,micro_f1,0.001,0.005,3,0.3
68,0.3316624895572264,micro_f1,0.001,0.005,3,0.5
69,0.31913116123642443,micro_f1,0.001,0.005,4,0.1
70,0.3233082706766917,micro_f1,0.001,0.005,4,0.3
71,0.329156223893066,micro_f1,0.001,0.005,4,0.5
72,0.30576441102756896,micro_f1,0.001,0.01,2,0.1
73,0.30242272347535504,micro_f1,0.001,0.01,2,0.3
74,0.3091060985797828,micro_f1,0.001,0.01,2,0.5
75,0.32581453634085206,micro_f1,0.001,0.01,3,0.1
76,0.32497911445279865,micro_f1,0.001,0.01,3,0.3
77,0.32497911445279865,micro_f1,0.001,0.01,3,0.5
78,0.3216374269005848,micro_f1,0.001,0.01,4,0.1
79,0.32497911445279865,micro_f1,0.001,0.01,4,0.3
80,0.33751044277360065,micro_f1,0.001,0.01,4,0.5
81,0.3625730994152046,micro_f1,0.005,0.001,2,0.1
82,0.4218880534670008,micro_f1,0.005,0.001,2,0.3
83,0.4227234753550542,micro_f1,0.005,0.001,2,0.5
84,0.40350877192982454,micro_f1,0.005,0.001,3,0.1
85,0.40100250626566414,micro_f1,0.005,0.001,3,0.3
86,0.4018379281537176,micro_f1,0.005,0.001,3,0.5
87,0.3583959899749373,micro_f1,0.005,0.001,4,0.1
88,0.35923141186299085,micro_f1,0.005,0.001,4,0.3
89,0.3684210526315789,micro_f1,0.005,0.001,4,0.5
90,0.35171261487050964,micro_f1,0.005,0.005,2,0.1
91,0.352548036758563,micro_f1,0.005,0.005,2,0.3
92,0.3517126148705096,micro_f1,0.005,0.005,2,0.5
93,0.3817878028404344,micro_f1,0.005,0.005,3,0.1
94,0.3817878028404344,micro_f1,0.005,0.005,3,0.3
95,0.366750208855472,micro_f1,0.005,0.005,3,0.5
96,0.39348370927318294,micro_f1,0.005,0.005,4,0.1
97,0.3842940685045948,micro_f1,0.005,0.005,4,0.3
98,0.37761069340016706,micro_f1,0.005,0.005,4,0.5
99,0.33751044277360065,micro_f1,0.005,0.01,2,0.1
100,0.3366750208855472,micro_f1,0.005,0.01,2,0.3
101,0.3458646616541354,micro_f1,0.005,0.01,2,0.5
102,0.41353383458646614,micro_f1,0.005,0.01,3,0.1
103,0.39348370927318294,micro_f1,0.005,0.01,3,0.3
104,0.37510442773600666,micro_f1,0.005,0.01,3,0.5
105,0.4227234753550542,micro_f1,0.005,0.01,4,0.1
106,0.42355889724310775,micro_f1,0.005,0.01,4,0.3
107,0.41102756892230574,micro_f1,0.005,0.01,4,0.5
108,0.4477861319966583,micro_f1,0.01,0.001,2,0.1
109,0.44945697577276517,micro_f1,0.01,0.001,2,0.3
110,0.44110275689223055,micro_f1,0.01,0.001,2,0.5
111,0.4269005847953216,micro_f1,0.01,0.001,3,0.1
112,0.4152046783625731,micro_f1,0.01,0.001,3,0.3
113,0.40016708437761067,micro_f1,0.01,0.001,3,0.5
114,0.3700918964076858,micro_f1,0.01,0.001,4,0.1
115,0.3609022556390977,micro_f1,0.01,0.001,4,0.3
116,0.36340852130325807,micro_f1,0.01,0.001,4,0.5
117,0.37761069340016706,micro_f1,0.01,0.005,2,0.1
118,0.3634085213032581,micro_f1,0.01,0.005,2,0.3
119,0.391812865497076,micro_f1,0.01,0.005,2,0.5
120,0.40016708437761067,micro_f1,0.01,0.005,3,0.1
121,0.38847117794486213,micro_f1,0.01,0.005,3,0.3
122,0.3926482873851294,micro_f1,0.01,0.005,3,0.5
123,0.42105263157894735,micro_f1,0.01,0.005,4,0.1
124,0.40350877192982454,micro_f1,0.01,0.005,4,0.3
125,0.4218880534670008,micro_f1,0.01,0.005,4,0.5
126,0.37677527151211354,micro_f1,0.01,0.01,2,0.1
127,0.39097744360902253,micro_f1,0.01,0.01,2,0.3
128,0.37343358395989973,micro_f1,0.01,0.01,2,0.5
129,0.39348370927318294,micro_f1,0.01,0.01,3,0.1
130,0.41687552213868,micro_f1,0.01,0.01,3,0.3
131,0.40935672514619875,micro_f1,0.01,0.01,3,0.5
132,0.44360902255639095,micro_f1,0.01,0.01,4,0.1
133,0.43358395989974935,micro_f1,0.01,0.01,4,0.3
134,0.45112781954887216,micro_f1,0.01,0.01,4,0.5
