config_id,avg_score,metric,lr,weight_decay,num_layers,dropout_ratio
0,0.3026086956521739,micro_f1,0.0001,0.001,2,0.1
1,0.3053623188405797,micro_f1,0.0001,0.001,2,0.3
2,0.3156521739130435,micro_f1,0.0001,0.001,2,0.5
3,0.3001449275362319,micro_f1,0.0001,0.001,3,0.1
4,0.32014492753623186,micro_f1,0.0001,0.001,3,0.3
5,0.2552173913043478,micro_f1,0.0001,0.001,3,0.5
6,0.24869565217391307,micro_f1,0.0001,0.001,4,0.1
7,0.29144927536231885,micro_f1,0.0001,0.001,4,0.3
8,0.2598550724637681,micro_f1,0.0001,0.001,4,0.5
9,0.29681159420289854,micro_f1,0.0001,0.005,2,0.1
10,0.317536231884058,micro_f1,0.0001,0.005,2,0.3
11,0.36536231884057974,micro_f1,0.0001,0.005,2,0.5
12,0.27043478260869563,micro_f1,0.0001,0.005,3,0.1
13,0.2604347826086956,micro_f1,0.0001,0.005,3,0.3
14,0.29608695652173916,micro_f1,0.0001,0.005,3,0.5
15,0.24130434782608692,micro_f1,0.0001,0.005,4,0.1
16,0.24347826086956523,micro_f1,0.0001,0.005,4,0.3
17,0.23144927536231882,micro_f1,0.0001,0.005,4,0.5
18,0.3702898550724638,micro_f1,0.0001,0.01,2,0.1
19,0.3781159420289855,micro_f1,0.0001,0.01,2,0.3
20,0.30144927536231886,micro_f1,0.0001,0.01,2,0.5
21,0.29536231884057973,micro_f1,0.0001,0.01,3,0.1
22,0.32289855072463763,micro_f1,0.0001,0.01,3,0.3
23,0.28014492753623194,micro_f1,0.0001,0.01,3,0.5
24,0.25405797101449273,micro_f1,0.0001,0.01,4,0.1
25,0.2565217391304348,micro_f1,0.0001,0.01,4,0.3
26,0.26405797101449274,micro_f1,0.0001,0.01,4,0.5
27,0.3418840579710145,micro_f1,0.0005,0.001,2,0.1
28,0.35724637681159416,micro_f1,0.0005,0.001,2,0.3
29,0.26507246376811594,micro_f1,0.0005,0.001,2,0.5
30,0.32492753623188403,micro_f1,0.0005,0.001,3,0.1
31,0.32623188405797104,micro_f1,0.0005,0.001,3,0.3
32,0.3130434782608696,micro_f1,0.0005,0.001,3,0.5
33,0.30478260869565216,micro_f1,0.0005,0.001,4,0.1
34,0.2717391304347826,micro_f1,0.0005,0.001,4,0.3
35,0.2636231884057971,micro_f1,0.0005,0.001,4,0.5
36,0.3343478260869565,micro_f1,0.0005,0.005,2,0.1
37,0.3498550724637681,micro_f1,0.0005,0.005,2,0.3
38,0.3089855072463768,micro_f1,0.0005,0.005,2,0.5
39,0.26304347826086955,micro_f1,0.0005,0.005,3,0.1
40,0.34710144927536235,micro_f1,0.0005,0.005,3,0.3
41,0.2872463768115942,micro_f1,0.0005,0.005,3,0.5
42,0.2955072463768116,micro_f1,0.0005,0.005,4,0.1
