config_id,avg_score,metric,lr,weight_decay,num_layers,dropout_ratio
0,0.6328106005348894,micro_f1,0.0001,0.001,2,0.1
1,0.6342693897398491,micro_f1,0.0001,0.001,2,0.3
2,0.6289812788718697,micro_f1,0.0001,0.001,2,0.5
3,0.6446024799416484,micro_f1,0.0001,0.001,3,0.1
4,0.6555433989788476,micro_f1,0.0001,0.001,3,0.3
5,0.6473984925844882,micro_f1,0.0001,0.001,3,0.5
6,0.6474592754680282,micro_f1,0.0001,0.001,4,0.1
7,0.6593119377583273,micro_f1,0.0001,0.001,4,0.3
8,0.6584609773887674,micro_f1,0.0001,0.001,4,0.5
9,0.6452103087770483,micro_f1,0.0001,0.005,2,0.1
10,0.6423535132506686,micro_f1,0.0001,0.005,2,0.3
11,0.6431436907366885,micro_f1,0.0001,0.005,2,0.5
12,0.6470945781667883,micro_f1,0.0001,0.005,3,0.1
13,0.6439338682227085,micro_f1,0.0001,0.005,3,0.3
14,0.650559202528568,micro_f1,0.0001,0.005,3,0.5
15,0.6525650376853878,micro_f1,0.0001,0.005,4,0.1
16,0.6419888159494286,micro_f1,0.0001,0.005,4,0.3
17,0.6483102358375881,micro_f1,0.0001,0.005,4,0.5
18,0.62575978604425,micro_f1,0.0001,0.01,2,0.1
19,0.6268538779479699,micro_f1,0.0001,0.01,2,0.3
20,0.6044857768052517,micro_f1,0.0001,0.01,2,0.5
21,0.6311694626793095,micro_f1,0.0001,0.01,3,0.1
22,0.6205932409433503,micro_f1,0.0001,0.01,3,0.3
23,0.576039387308534,micro_f1,0.0001,0.01,3,0.5
24,0.5585946997325553,micro_f1,0.0001,0.01,4,0.1
25,0.5644906394359349,micro_f1,0.0001,0.01,4,0.3
26,0.562545587162655,micro_f1,0.0001,0.01,4,0.5
27,0.6604060296620472,micro_f1,0.0005,0.001,2,0.1
28,0.6624118648188669,micro_f1,0.0005,0.001,2,0.3
29,0.6651470945781668,micro_f1,0.0005,0.001,2,0.5
30,0.6527473863360077,micro_f1,0.0005,0.001,3,0.1
31,0.6546316557257477,micro_f1,0.0005,0.001,3,0.3
32,0.6527473863360078,micro_f1,0.0005,0.001,3,0.5
33,0.6545708728422076,micro_f1,0.0005,0.001,4,0.1
34,0.6543277413080476,micro_f1,0.0005,0.001,4,0.3
35,0.661621687332847,micro_f1,0.0005,0.001,4,0.5
36,0.6883661560904449,micro_f1,0.0005,0.005,2,0.1
37,0.6884877218575248,micro_f1,0.0005,0.005,2,0.3
38,0.6923170435205447,micro_f1,0.0005,0.005,2,0.5
39,0.6771213226355459,micro_f1,0.0005,0.005,3,0.1
40,0.6783369803063457,micro_f1,0.0005,0.005,3,0.3
41,0.6813761244833455,micro_f1,0.0005,0.005,3,0.5
42,0.6791271577923657,micro_f1,0.0005,0.005,4,0.1
43,0.6799781181619257,micro_f1,0.0005,0.005,4,0.3
44,0.676331145149526,micro_f1,0.0005,0.005,4,0.5
45,0.6955385363481644,micro_f1,0.0005,0.01,2,0.1
46,0.6936542669584246,micro_f1,0.0005,0.01,2,0.3
47,0.6943228786773644,micro_f1,0.0005,0.01,2,0.5
48,0.6820447362022856,micro_f1,0.0005,0.01,3,0.1
49,0.6872720641867249,micro_f1,0.0005,0.01,3,0.3
50,0.688123024556285,micro_f1,0.0005,0.01,3,0.5
51,0.6783369803063457,micro_f1,0.0005,0.01,4,0.1
52,0.6791271577923657,micro_f1,0.0005,0.01,4,0.3
53,0.6736566982737662,micro_f1,0.0005,0.01,4,0.5
54,0.6634451738390469,micro_f1,0.001,0.001,2,0.1
55,0.6637490882567469,micro_f1,0.001,0.001,2,0.3
56,0.6647823972769269,micro_f1,0.001,0.001,2,0.5
57,0.6463044006807683,micro_f1,0.001,0.001,3,0.1
58,0.6492827619742281,micro_f1,0.001,0.001,3,0.3
59,0.6531728665207877,micro_f1,0.001,0.001,3,0.5
60,0.6554218332117675,micro_f1,0.001,0.001,4,0.1
61,0.6566982737661075,micro_f1,0.001,0.001,4,0.3
62,0.6587041089229274,micro_f1,0.001,0.001,4,0.5
63,0.6822878677364455,micro_f1,0.001,0.005,2,0.1
64,0.6804035983467055,micro_f1,0.001,0.005,2,0.3
65,0.6833211767566253,micro_f1,0.001,0.005,2,0.5
66,0.6707999027473863,micro_f1,0.001,0.005,3,0.1
67,0.6711646000486263,micro_f1,0.001,0.005,3,0.3
68,0.676878191101386,micro_f1,0.001,0.005,3,0.5
69,0.6676391928033066,micro_f1,0.001,0.005,4,0.1
70,0.6769389739849259,micro_f1,0.001,0.005,4,0.3
71,0.6658764891806467,micro_f1,0.001,0.005,4,0.5
72,0.6909798200826648,micro_f1,0.001,0.01,2,0.1
73,0.6948699246292245,micro_f1,0.001,0.01,2,0.3
74,0.6942620957938245,micro_f1,0.001,0.01,2,0.5
75,0.675540967663506,micro_f1,0.001,0.01,3,0.1
76,0.6780938487721858,micro_f1,0.001,0.01,3,0.3
77,0.6824702163870654,micro_f1,0.001,0.01,3,0.5
78,0.6692803306588865,micro_f1,0.001,0.01,4,0.1
79,0.6692803306588865,micro_f1,0.001,0.01,4,0.3
80,0.6652686603452468,micro_f1,0.001,0.01,4,0.5
81,0.6454534403112083,micro_f1,0.005,0.001,2,0.1
