config_id,avg_score,metric,lr,weight_decay,num_layers,dropout_ratio
0,0.6842937028932652,micro_f1,0.0001,0.001,2,0.1
1,0.6856917092146851,micro_f1,0.0001,0.001,2,0.3
2,0.688791636275225,micro_f1,0.0001,0.001,2,0.5
3,0.6909190371991247,micro_f1,0.0001,0.001,3,0.1
4,0.7035618769754436,micro_f1,0.0001,0.001,3,0.3
5,0.7074519815220034,micro_f1,0.0001,0.001,3,0.5
6,0.700826647216144,micro_f1,0.0001,0.001,4,0.1
7,0.7058716265499636,micro_f1,0.0001,0.001,4,0.3
8,0.699489423778264,micro_f1,0.0001,0.001,4,0.5
9,0.6882445903233649,micro_f1,0.0001,0.005,2,0.1
10,0.6830780452224653,micro_f1,0.0001,0.005,2,0.3
11,0.7026501337223438,micro_f1,0.0001,0.005,2,0.5
12,0.7103695599319232,micro_f1,0.0001,0.005,3,0.1
13,0.6853270119134452,micro_f1,0.0001,0.005,3,0.3
14,0.6943228786773644,micro_f1,0.0001,0.005,3,0.5
15,0.7075735472890834,micro_f1,0.0001,0.005,4,0.1
16,0.7027716994894239,micro_f1,0.0001,0.005,4,0.3
17,0.6984561147580841,micro_f1,0.0001,0.005,4,0.5
18,0.6775468028203258,micro_f1,0.0001,0.01,2,0.1
19,0.700948212983224,micro_f1,0.0001,0.01,2,0.3
20,0.6971796742037443,micro_f1,0.0001,0.01,2,0.5
21,0.6926817408217846,micro_f1,0.0001,0.01,3,0.1
22,0.6969973255531242,micro_f1,0.0001,0.01,3,0.3
23,0.6850838803792852,micro_f1,0.0001,0.01,3,0.5
24,0.6728057379042062,micro_f1,0.0001,0.01,4,0.1
25,0.6780938487721858,micro_f1,0.0001,0.01,4,0.3
26,0.612873814733771,micro_f1,0.0001,0.01,4,0.5
27,0.7273279844395818,micro_f1,0.0005,0.001,2,0.1
28,0.7293338195964018,micro_f1,0.0005,0.001,2,0.3
29,0.7302455628495016,micro_f1,0.0005,0.001,2,0.5
30,0.7200948212983224,micro_f1,0.0005,0.001,3,0.1
31,0.7228908339411623,micro_f1,0.0005,0.001,3,0.3
32,0.7270848529054218,micro_f1,0.0005,0.001,3,0.5
33,0.7318867007050814,micro_f1,0.0005,0.001,4,0.1
34,0.7280573790420618,micro_f1,0.0005,0.001,4,0.3
35,0.7349866277656211,micro_f1,0.0005,0.001,4,0.5
36,0.7458059810357404,micro_f1,0.0005,0.005,2,0.1
37,0.7437393629953806,micro_f1,0.0005,0.005,2,0.3
38,0.7433746656941406,micro_f1,0.0005,0.005,2,0.5
39,0.7433746656941406,micro_f1,0.0005,0.005,3,0.1
40,0.7417335278385607,micro_f1,0.0005,0.005,3,0.3
41,0.7383296863603208,micro_f1,0.0005,0.005,3,0.5
42,0.7411864818867008,micro_f1,0.0005,0.005,4,0.1
43,0.7371748115730611,micro_f1,0.0005,0.005,4,0.3
44,0.7468392900559202,micro_f1,0.0005,0.005,4,0.5
45,0.7442864089472404,micro_f1,0.0005,0.01,2,0.1
46,0.7399708242159009,micro_f1,0.0005,0.01,2,0.3
47,0.7436177972283006,micro_f1,0.0005,0.01,2,0.5
48,0.7421590080233407,micro_f1,0.0005,0.01,3,0.1
49,0.7357160223681012,micro_f1,0.0005,0.01,3,0.3
50,0.737053245805981,micro_f1,0.0005,0.01,3,0.5
51,0.7354121079504012,micro_f1,0.0005,0.01,4,0.1
52,0.7310357403355215,micro_f1,0.0005,0.01,4,0.3
53,0.7296985168976415,micro_f1,0.0005,0.01,4,0.5
54,0.7332847070265013,micro_f1,0.001,0.001,2,0.1
55,0.7339533187454412,micro_f1,0.001,0.001,2,0.3
56,0.7330415754923414,micro_f1,0.001,0.001,2,0.5
57,0.7216143933868223,micro_f1,0.001,0.001,3,0.1
58,0.724957451981522,micro_f1,0.001,0.001,3,0.3
59,0.725686846584002,micro_f1,0.001,0.001,3,0.5
60,0.7308533916849015,micro_f1,0.001,0.001,4,0.1
61,0.7299416484318016,micro_f1,0.001,0.001,4,0.3
62,0.7250790177486021,micro_f1,0.001,0.001,4,0.5
63,0.7481765134938002,micro_f1,0.001,0.005,2,0.1
64,0.7448942377826405,micro_f1,0.001,0.005,2,0.3
65,0.7445295404814004,micro_f1,0.001,0.005,2,0.5
66,0.7407002188183808,micro_f1,0.001,0.005,3,0.1
67,0.7424629224410406,micro_f1,0.001,0.005,3,0.3
68,0.7385728178944809,micro_f1,0.001,0.005,3,0.5
69,0.7331631412594214,micro_f1,0.001,0.005,4,0.1
70,0.7242280573790421,micro_f1,0.001,0.005,4,0.3
71,0.7306710430342815,micro_f1,0.001,0.005,4,0.5
72,0.7448942377826405,micro_f1,0.001,0.01,2,0.1
73,0.7431923170435205,micro_f1,0.001,0.01,2,0.3
74,0.7431315341599806,micro_f1,0.001,0.01,2,0.5
75,0.7363238512035011,micro_f1,0.001,0.01,3,0.1
76,0.7419158764891806,micro_f1,0.001,0.01,3,0.3
77,0.738208120593241,micro_f1,0.001,0.01,3,0.5
78,0.7317651349380014,micro_f1,0.001,0.01,4,0.1
79,0.7190007293946025,micro_f1,0.001,0.01,4,0.3
80,0.7327376610746414,micro_f1,0.001,0.01,4,0.5
81,0.7263554583029418,micro_f1,0.005,0.001,2,0.1
82,0.7314004376367614,micro_f1,0.005,0.001,2,0.3
83,0.7225869195234621,micro_f1,0.005,0.001,2,0.5
84,0.7144420131291028,micro_f1,0.005,0.001,3,0.1
85,0.7095793824459032,micro_f1,0.005,0.001,3,0.3
86,0.7176635059567227,micro_f1,0.005,0.001,3,0.5
87,0.7230123997082422,micro_f1,0.005,0.001,4,0.1
88,0.7235594456601021,micro_f1,0.005,0.001,4,0.3
89,0.7207026501337223,micro_f1,0.005,0.001,4,0.5
90,0.7368708971553609,micro_f1,0.005,0.005,2,0.1
91,0.7378434232920009,micro_f1,0.005,0.005,2,0.3
92,0.7383904692438609,micro_f1,0.005,0.005,2,0.5
93,0.7394845611475809,micro_f1,0.005,0.005,3,0.1
94,0.7348650619985412,micro_f1,0.005,0.005,3,0.3
95,0.7277534646243616,micro_f1,0.005,0.005,3,0.5
96,0.7286044249939216,micro_f1,0.005,0.005,4,0.1
97,0.7292730367128617,micro_f1,0.005,0.005,4,0.3
98,0.7264770240700219,micro_f1,0.005,0.005,4,0.5
99,0.7392414296134208,micro_f1,0.005,0.01,2,0.1
100,0.7416727449550207,micro_f1,0.005,0.01,2,0.3
101,0.7426452710916607,micro_f1,0.005,0.01,2,0.5
102,0.7299416484318016,micro_f1,0.005,0.01,3,0.1
103,0.725504497933382,micro_f1,0.005,0.01,3,0.3
104,0.7328592268417213,micro_f1,0.005,0.01,3,0.5
105,0.7186968149769024,micro_f1,0.005,0.01,4,0.1
106,0.7273887673231219,micro_f1,0.005,0.01,4,0.3
107,0.7308533916849016,micro_f1,0.005,0.01,4,0.5
108,0.7317651349380014,micro_f1,0.01,0.001,2,0.1
109,0.7282397276926819,micro_f1,0.01,0.001,2,0.3
110,0.7301239970824217,micro_f1,0.01,0.001,2,0.5
111,0.7163870654023826,micro_f1,0.01,0.001,3,0.1
112,0.7148674933138827,micro_f1,0.01,0.001,3,0.3
113,0.7148067104303428,micro_f1,0.01,0.001,3,0.5
114,0.725869195234622,micro_f1,0.01,0.001,4,0.1
115,0.7230123997082422,micro_f1,0.01,0.001,4,0.3
116,0.7167517627036227,micro_f1,0.01,0.001,4,0.5
117,0.7413688305373207,micro_f1,0.01,0.005,2,0.1
118,0.7378434232920009,micro_f1,0.01,0.005,2,0.3
119,0.7327984439581815,micro_f1,0.01,0.005,2,0.5
120,0.7368708971553611,micro_f1,0.01,0.005,3,0.1
121,0.7332239241429613,micro_f1,0.01,0.005,3,0.3
122,0.7442256260637005,micro_f1,0.01,0.005,3,0.5
123,0.7302455628495016,micro_f1,0.01,0.005,4,0.1
124,0.7231339654753222,micro_f1,0.01,0.005,4,0.3
125,0.7227692681740822,micro_f1,0.01,0.005,4,0.5
126,0.7357160223681012,micro_f1,0.01,0.01,2,0.1
127,0.7368101142718211,micro_f1,0.01,0.01,2,0.3
128,0.7406394359348406,micro_f1,0.01,0.01,2,0.5
129,0.7326768781911014,micro_f1,0.01,0.01,3,0.1
130,0.7297592997811816,micro_f1,0.01,0.01,3,0.3
131,0.7316435691709214,micro_f1,0.01,0.01,3,0.5
132,0.7275103330902019,micro_f1,0.01,0.01,4,0.1
133,0.7279358132749817,micro_f1,0.01,0.01,4,0.3
134,0.7202771699489423,micro_f1,0.01,0.01,4,0.5
