config_id,avg_score,metric,lr,weight_decay,num_layers,dropout_ratio
0,0.5375,micro_f1,0.0001,0.001,2,0.1
1,0.5341168091168091,micro_f1,0.0001,0.001,2,0.3
2,0.5447293447293448,micro_f1,0.0001,0.001,2,0.5
3,0.5524572649572649,micro_f1,0.0001,0.001,3,0.1
4,0.5537037037037037,micro_f1,0.0001,0.001,3,0.3
5,0.5709045584045583,micro_f1,0.0001,0.001,3,0.5
6,0.5804487179487179,micro_f1,0.0001,0.001,4,0.1
7,0.5745726495726495,micro_f1,0.0001,0.001,4,0.3
8,0.5949786324786325,micro_f1,0.0001,0.001,4,0.5
9,0.5513176638176639,micro_f1,0.0001,0.005,2,0.1
10,0.5471509971509971,micro_f1,0.0001,0.005,2,0.3
11,0.5338675213675214,micro_f1,0.0001,0.005,2,0.5
12,0.5664529914529914,micro_f1,0.0001,0.005,3,0.1
13,0.565562678062678,micro_f1,0.0001,0.005,3,0.3
14,0.542948717948718,micro_f1,0.0001,0.005,3,0.5
15,0.5271367521367522,micro_f1,0.0001,0.005,4,0.1
16,0.5232549857549857,micro_f1,0.0001,0.005,4,0.3
17,0.5150284900284899,micro_f1,0.0001,0.005,4,0.5
18,0.5137108262108262,micro_f1,0.0001,0.01,2,0.1
19,0.524537037037037,micro_f1,0.0001,0.01,2,0.3
20,0.5092236467236467,micro_f1,0.0001,0.01,2,0.5
21,0.5128205128205128,micro_f1,0.0001,0.01,3,0.1
22,0.5377849002849002,micro_f1,0.0001,0.01,3,0.3
23,0.4931980056980057,micro_f1,0.0001,0.01,3,0.5
24,0.4600071225071225,micro_f1,0.0001,0.01,4,0.1
25,0.4722578347578348,micro_f1,0.0001,0.01,4,0.3
26,0.3956908831908832,micro_f1,0.0001,0.01,4,0.5
27,0.6055911680911681,micro_f1,0.0005,0.001,2,0.1
28,0.6077991452991452,micro_f1,0.0005,0.001,2,0.3
29,0.6067307692307692,micro_f1,0.0005,0.001,2,0.5
30,0.6136039886039887,micro_f1,0.0005,0.001,3,0.1
31,0.6137108262108263,micro_f1,0.0005,0.001,3,0.3
32,0.621011396011396,micro_f1,0.0005,0.001,3,0.5
33,0.6247507122507122,micro_f1,0.0005,0.001,4,0.1
34,0.6229344729344729,micro_f1,0.0005,0.001,4,0.3
35,0.6352564102564102,micro_f1,0.0005,0.001,4,0.5
36,0.6317307692307692,micro_f1,0.0005,0.005,2,0.1
37,0.6310897435897436,micro_f1,0.0005,0.005,2,0.3
38,0.6292378917378917,micro_f1,0.0005,0.005,2,0.5
39,0.6451566951566953,micro_f1,0.0005,0.005,3,0.1
40,0.6449786324786325,micro_f1,0.0005,0.005,3,0.3
41,0.6443376068376069,micro_f1,0.0005,0.005,3,0.5
42,0.6408831908831908,micro_f1,0.0005,0.005,4,0.1
43,0.643019943019943,micro_f1,0.0005,0.005,4,0.3
