config_id,avg_score,metric,lr,weight_decay,num_layers,dropout_ratio
0,0.6432382018280173,micro_f1,0.0001,0.001,2,0.1
1,0.651035254616676,micro_f1,0.0001,0.001,2,0.3
2,0.655138966610707,micro_f1,0.0001,0.001,2,0.5
3,0.6654728595411304,micro_f1,0.0001,0.001,3,0.1
4,0.6949076664801342,micro_f1,0.0001,0.001,3,0.3
5,0.6860287259839583,micro_f1,0.0001,0.001,3,0.5
6,0.6401044581234845,micro_f1,0.0001,0.001,4,0.1
7,0.6922589069203506,micro_f1,0.0001,0.001,4,0.3
8,0.7000559597090095,micro_f1,0.0001,0.001,4,0.5
9,0.6256668531990299,micro_f1,0.0001,0.005,2,0.1
10,0.667599328483492,micro_f1,0.0001,0.005,2,0.3
11,0.646856929677299,micro_f1,0.0001,0.005,2,0.5
12,0.668345457936952,micro_f1,0.0001,0.005,3,0.1
13,0.6797239321022198,micro_f1,0.0001,0.005,3,0.3
14,0.5940309643723186,micro_f1,0.0001,0.005,3,0.5
15,0.6474165267673941,micro_f1,0.0001,0.005,4,0.1
16,0.6864764036560344,micro_f1,0.0001,0.005,4,0.3
17,0.642715911210595,micro_f1,0.0001,0.005,4,0.5
18,0.591456817757881,micro_f1,0.0001,0.01,2,0.1
19,0.6214885282596531,micro_f1,0.0001,0.01,2,0.3
20,0.6328670024249207,micro_f1,0.0001,0.01,2,0.5
21,0.6003730647267301,micro_f1,0.0001,0.01,3,0.1
22,0.5879873157992912,micro_f1,0.0001,0.01,3,0.3
23,0.578772617049058,micro_f1,0.0001,0.01,3,0.5
24,0.5339302368961015,micro_f1,0.0001,0.01,4,0.1
25,0.3966424174594292,micro_f1,0.0001,0.01,4,0.3
26,0.41947397873531056,micro_f1,0.0001,0.01,4,0.5
27,0.7119940309643723,micro_f1,0.0005,0.001,2,0.1
28,0.7139339675433688,micro_f1,0.0005,0.001,2,0.3
29,0.7156873717590003,micro_f1,0.0005,0.001,2,0.5
30,0.7157992911770193,micro_f1,0.0005,0.001,3,0.1
31,0.7266554747248648,micro_f1,0.0005,0.001,3,0.3
32,0.731579929117702,micro_f1,0.0005,0.001,3,0.5
33,0.731468009699683,micro_f1,0.0005,0.001,4,0.1
34,0.736131318783809,micro_f1,0.0005,0.001,4,0.3
35,0.7395262077970527,micro_f1,0.0005,0.001,4,0.5
36,0.7462413728781944,micro_f1,0.0005,0.005,2,0.1
37,0.744711807498601,micro_f1,0.0005,0.005,2,0.3
38,0.7442268233538519,micro_f1,0.0005,0.005,2,0.5
39,0.7519119567244917,micro_f1,0.0005,0.005,3,0.1
40,0.7479947770938257,micro_f1,0.0005,0.005,3,0.3
41,0.7581421376608842,micro_f1,0.0005,0.005,3,0.5
42,0.7562395075545606,micro_f1,0.0005,0.005,4,0.1
43,0.7507927625443015,micro_f1,0.0005,0.005,4,0.3
44,0.7598582354038426,micro_f1,0.0005,0.005,4,0.5
45,0.7477336317851146,micro_f1,0.0005,0.01,2,0.1
46,0.7467263570229434,micro_f1,0.0005,0.01,2,0.3
47,0.7478082447304607,micro_f1,0.0005,0.01,2,0.5
48,0.7526953926506249,micro_f1,0.0005,0.01,3,0.1
49,0.7580675247155382,micro_f1,0.0005,0.01,3,0.3
50,0.7553441522104084,micro_f1,0.0005,0.01,3,0.5
51,0.7548964745383323,micro_f1,0.0005,0.01,4,0.1
52,0.753180376795374,micro_f1,0.0005,0.01,4,0.3
53,0.7411676925946652,micro_f1,0.0005,0.01,4,0.5
54,0.7184107442641299,micro_f1,0.001,0.001,2,0.1
55,0.7229621339302369,micro_f1,0.001,0.001,2,0.3
56,0.7249766834545793,micro_f1,0.001,0.001,2,0.5
57,0.7197164708076852,micro_f1,0.001,0.001,3,0.1
58,0.731990300317105,micro_f1,0.001,0.001,3,0.3
59,0.7351240440216378,micro_f1,0.001,0.001,3,0.5
60,0.7372132064913263,micro_f1,0.001,0.001,4,0.1
61,0.7419138220481254,micro_f1,0.001,0.001,4,0.3
62,0.7503077783995523,micro_f1,0.001,0.001,4,0.5
63,0.7456817757880992,micro_f1,0.001,0.005,2,0.1
64,0.7464652117142324,micro_f1,0.001,0.005,2,0.3
65,0.7467636634956164,micro_f1,0.001,0.005,2,0.5
66,0.7485170677112478,micro_f1,0.001,0.005,3,0.1
67,0.7472113411676925,micro_f1,0.001,0.005,3,0.3
68,0.7541876515575453,micro_f1,0.001,0.005,3,0.5
69,0.744786420443947,micro_f1,0.001,0.005,4,0.1
70,0.7516508114157806,micro_f1,0.001,0.005,4,0.3
71,0.7482559224025369,micro_f1,0.001,0.005,4,0.5
72,0.7451221786980041,micro_f1,0.001,0.01,2,0.1
73,0.7501958589815333,micro_f1,0.001,0.01,2,0.3
74,0.7504196978175713,micro_f1,0.001,0.01,2,0.5
75,0.7469128893863086,micro_f1,0.001,0.01,3,0.1
76,0.7558291363551577,micro_f1,0.001,0.01,3,0.3
77,0.7434060809550457,micro_f1,0.001,0.01,3,0.5
78,0.7579182988248462,micro_f1,0.001,0.01,4,0.1
79,0.7427718709196046,micro_f1,0.001,0.01,4,0.3
80,0.7504196978175713,micro_f1,0.001,0.01,4,0.5
81,0.7078530124976684,micro_f1,0.005,0.001,2,0.1
82,0.7135982092893117,micro_f1,0.005,0.001,2,0.3
83,0.7201641484797613,micro_f1,0.005,0.001,2,0.5
84,0.7056519306099608,micro_f1,0.005,0.001,3,0.1
85,0.7159112105950384,micro_f1,0.005,0.001,3,0.3
86,0.7312068643909718,micro_f1,0.005,0.001,3,0.5
87,0.740085804887148,micro_f1,0.005,0.001,4,0.1
88,0.740570789031897,micro_f1,0.005,0.001,4,0.3
89,0.7435180003730647,micro_f1,0.005,0.001,4,0.5
90,0.7409811602313002,micro_f1,0.005,0.005,2,0.1
91,0.7420630479388174,micro_f1,0.005,0.005,2,0.3
92,0.7414288379033763,micro_f1,0.005,0.005,2,0.5
93,0.74023503077784,micro_f1,0.005,0.005,3,0.1
94,0.740272337250513,micro_f1,0.005,0.005,3,0.3
95,0.7458683081514642,micro_f1,0.005,0.005,3,0.5
96,0.7504570042902442,micro_f1,0.005,0.005,4,0.1
97,0.7550083939563516,micro_f1,0.005,0.005,4,0.3
98,0.7490766648013429,micro_f1,0.005,0.005,4,0.5
99,0.7420630479388174,micro_f1,0.005,0.01,2,0.1
100,0.740085804887148,micro_f1,0.005,0.01,2,0.3
101,0.7409811602313002,micro_f1,0.005,0.01,2,0.5
102,0.7397500466330907,micro_f1,0.005,0.01,3,0.1
103,0.7365416899832121,micro_f1,0.005,0.01,3,0.3
104,0.7392277560156687,micro_f1,0.005,0.01,3,0.5
105,0.7375489647453835,micro_f1,0.005,0.01,4,0.1
106,0.7354224958030219,micro_f1,0.005,0.01,4,0.3
107,0.7456817757880992,micro_f1,0.005,0.01,4,0.5
108,0.7129639992538706,micro_f1,0.01,0.001,2,0.1
109,0.7174780824473047,micro_f1,0.01,0.001,2,0.3
110,0.7245663122551762,micro_f1,0.01,0.001,2,0.5
111,0.715463532922962,micro_f1,0.01,0.001,3,0.1
112,0.7296026860660324,micro_f1,0.01,0.001,3,0.3
113,0.7355717216937139,micro_f1,0.01,0.001,3,0.5
114,0.7463532922962134,micro_f1,0.01,0.001,4,0.1
115,0.7579182988248462,micro_f1,0.01,0.001,4,0.3
116,0.7515761984704347,micro_f1,0.01,0.001,4,0.5
117,0.7373251259093453,micro_f1,0.01,0.005,2,0.1
118,0.740869240813281,micro_f1,0.01,0.005,2,0.3
119,0.7432195485916807,micro_f1,0.01,0.005,2,0.5
120,0.744599888080582,micro_f1,0.01,0.005,3,0.1
121,0.7418765155754524,micro_f1,0.01,0.005,3,0.3
122,0.7516135049431076,micro_f1,0.01,0.005,3,0.5
123,0.7356463346390599,micro_f1,0.01,0.005,4,0.1
124,0.7469875023316547,micro_f1,0.01,0.005,4,0.3
125,0.748927438910651,micro_f1,0.01,0.005,4,0.5
126,0.7410557731766462,micro_f1,0.01,0.01,2,0.1
127,0.7416153702667413,micro_f1,0.01,0.01,2,0.3
128,0.7460921469875023,micro_f1,0.01,0.01,2,0.5
129,0.7401977243051668,micro_f1,0.01,0.01,3,0.1
130,0.7376608841634024,micro_f1,0.01,0.01,3,0.3
131,0.7450475657526581,micro_f1,0.01,0.01,3,0.5
132,0.7420257414661444,micro_f1,0.01,0.01,4,0.1
