config_id,avg_score,metric,lr,weight_decay,num_layers,dropout_ratio
0,0.4977226250232385,micro_f1,0.0001,0.001,2,0.1
1,0.4976684018095061,micro_f1,0.0001,0.001,2,0.3
2,0.49771487884984816,micro_f1,0.0001,0.001,2,0.5
3,0.4977071326764578,micro_f1,0.0001,0.001,3,0.1
4,0.4977226250232385,micro_f1,0.0001,0.001,3,0.3
5,0.4977226250232385,micro_f1,0.0001,0.001,3,0.5
6,0.4977226250232385,micro_f1,0.0001,0.001,4,0.1
7,0.49769938650306744,micro_f1,0.0001,0.001,4,0.3
8,0.49768389415628683,micro_f1,0.0001,0.001,4,0.5
9,0.4976916403296771,micro_f1,0.0001,0.005,2,0.1
10,0.4976761479828964,micro_f1,0.0001,0.005,2,0.3
11,0.49771487884984816,micro_f1,0.0001,0.005,2,0.5
12,0.4977071326764578,micro_f1,0.0001,0.005,3,0.1
13,0.49768389415628683,micro_f1,0.0001,0.005,3,0.3
14,0.49768389415628683,micro_f1,0.0001,0.005,3,0.5
15,0.49764516328933506,micro_f1,0.0001,0.005,4,0.1
16,0.49768389415628683,micro_f1,0.0001,0.005,4,0.3
17,0.4977226250232385,micro_f1,0.0001,0.005,4,0.5
18,0.49768389415628683,micro_f1,0.0001,0.01,2,0.1
19,0.4976993865030675,micro_f1,0.0001,0.01,2,0.3
20,0.4977071326764578,micro_f1,0.0001,0.01,2,0.5
21,0.4977226250232385,micro_f1,0.0001,0.01,3,0.1
22,0.4977071326764578,micro_f1,0.0001,0.01,3,0.3
23,0.49771487884984816,micro_f1,0.0001,0.01,3,0.5
24,0.49767614798289644,micro_f1,0.0001,0.01,4,0.1
25,0.4976916403296771,micro_f1,0.0001,0.01,4,0.3
26,0.49769938650306744,micro_f1,0.0001,0.01,4,0.5
27,0.4976993865030675,micro_f1,0.0005,0.001,2,0.1
28,0.4977071326764578,micro_f1,0.0005,0.001,2,0.3
29,0.49771487884984816,micro_f1,0.0005,0.001,2,0.5
30,0.49769938650306744,micro_f1,0.0005,0.001,3,0.1
31,0.4985669579227861,micro_f1,0.0005,0.001,3,0.3
32,0.49771487884984816,micro_f1,0.0005,0.001,3,0.5
33,0.5005577244841048,micro_f1,0.0005,0.001,4,0.1
34,0.49937255995538204,micro_f1,0.0005,0.001,4,0.3
35,0.49839654210819856,micro_f1,0.0005,0.001,4,0.5
36,0.49768389415628683,micro_f1,0.0005,0.005,2,0.1
37,0.49773037119662883,micro_f1,0.0005,0.005,2,0.3
38,0.49771487884984816,micro_f1,0.0005,0.005,2,0.5
39,0.4977226250232385,micro_f1,0.0005,0.005,3,0.1
40,0.4983190803742951,micro_f1,0.0005,0.005,3,0.3
41,0.4977845944103613,micro_f1,0.0005,0.005,3,0.5
42,0.4984197806283696,micro_f1,0.0005,0.005,4,0.1
43,0.4977071326764578,micro_f1,0.0005,0.005,4,0.3
44,0.49769938650306744,micro_f1,0.0005,0.005,4,0.5
45,0.4976916403296771,micro_f1,0.0005,0.01,2,0.1
46,0.4977381173700192,micro_f1,0.0005,0.01,2,0.3
47,0.49769938650306744,micro_f1,0.0005,0.01,2,0.5
48,0.49773037119662883,micro_f1,0.0005,0.01,3,0.1
49,0.4977226250232385,micro_f1,0.0005,0.01,3,0.3
50,0.4977071326764578,micro_f1,0.0005,0.01,3,0.5
51,0.4976916403296771,micro_f1,0.0005,0.01,4,0.1
52,0.49769938650306744,micro_f1,0.0005,0.01,4,0.3
53,0.4977226250232385,micro_f1,0.0005,0.01,4,0.5
54,0.49833457272107573,micro_f1,0.001,0.001,2,0.1
55,0.5025949680857656,micro_f1,0.001,0.001,2,0.3
56,0.5036716861870237,micro_f1,0.001,0.001,2,0.5
57,0.502447790791349,micro_f1,0.001,0.001,3,0.1
58,0.5032379004771642,micro_f1,0.001,0.001,3,0.3
59,0.5031294540496994,micro_f1,0.001,0.001,3,0.5
60,0.5024168060977877,micro_f1,0.001,0.001,4,0.1
61,0.5017583813596084,micro_f1,0.001,0.001,4,0.3
62,0.4995197372497986,micro_f1,0.001,0.001,4,0.5
