config_id,avg_score,metric,lr,weight_decay,num_layers,dropout_ratio
0,0.5243774633768482,micro_f1,0.0001,0.001,2,0.1
1,0.5243432893627685,micro_f1,0.0001,0.001,2,0.3
2,0.5243888547148748,micro_f1,0.0001,0.001,2,0.5
3,0.5243774633768482,micro_f1,0.0001,0.001,3,0.1
4,0.5243432893627685,micro_f1,0.0001,0.001,3,0.3
5,0.5243546807007952,micro_f1,0.0001,0.001,3,0.5
6,0.5243546807007952,micro_f1,0.0001,0.001,4,0.1
7,0.5243660720388217,micro_f1,0.0001,0.001,4,0.3
8,0.5243774633768482,micro_f1,0.0001,0.001,4,0.5
9,0.5243432893627685,micro_f1,0.0001,0.005,2,0.1
10,0.5244002460529014,micro_f1,0.0001,0.005,2,0.3
11,0.5243546807007952,micro_f1,0.0001,0.005,2,0.5
12,0.5244002460529014,micro_f1,0.0001,0.005,3,0.1
13,0.5244002460529014,micro_f1,0.0001,0.005,3,0.3
14,0.5243774633768482,micro_f1,0.0001,0.005,3,0.5
15,0.5243888547148748,micro_f1,0.0001,0.005,4,0.1
16,0.5244002460529014,micro_f1,0.0001,0.005,4,0.3
17,0.5244002460529014,micro_f1,0.0001,0.005,4,0.5
18,0.5243432893627685,micro_f1,0.0001,0.01,2,0.1
19,0.5243774633768482,micro_f1,0.0001,0.01,2,0.3
20,0.5243546807007952,micro_f1,0.0001,0.01,2,0.5
21,0.5243774633768482,micro_f1,0.0001,0.01,3,0.1
22,0.5243660720388217,micro_f1,0.0001,0.01,3,0.3
23,0.5243888547148748,micro_f1,0.0001,0.01,3,0.5
24,0.524331898024742,micro_f1,0.0001,0.01,4,0.1
25,0.524331898024742,micro_f1,0.0001,0.01,4,0.3
26,0.5243546807007952,micro_f1,0.0001,0.01,4,0.5
27,0.5243546807007952,micro_f1,0.0005,0.001,2,0.1
28,0.5243660720388217,micro_f1,0.0005,0.001,2,0.3
29,0.5244116373909279,micro_f1,0.0005,0.001,2,0.5
30,0.5243205066867154,micro_f1,0.0005,0.001,3,0.1
31,0.5224067618982525,micro_f1,0.0005,0.001,3,0.3
32,0.5237851137994668,micro_f1,0.0005,0.001,3,0.5
33,0.5219624997152166,micro_f1,0.0005,0.001,4,0.1
34,0.5242749413346092,micro_f1,0.0005,0.001,4,0.3
35,0.5244002460529014,micro_f1,0.0005,0.001,4,0.5
36,0.5243888547148748,micro_f1,0.0005,0.005,2,0.1
37,0.5244002460529014,micro_f1,0.0005,0.005,2,0.3
38,0.5243660720388217,micro_f1,0.0005,0.005,2,0.5
39,0.5244002460529014,micro_f1,0.0005,0.005,3,0.1
40,0.5243432893627685,micro_f1,0.0005,0.005,3,0.3
41,0.5244002460529014,micro_f1,0.0005,0.005,3,0.5
42,0.5238534618276264,micro_f1,0.0005,0.005,4,0.1
43,0.5245369421092202,micro_f1,0.0005,0.005,4,0.3
44,0.5244002460529014,micro_f1,0.0005,0.005,4,0.5
45,0.5243774633768482,micro_f1,0.0005,0.01,2,0.1
46,0.5243774633768482,micro_f1,0.0005,0.01,2,0.3
47,0.5243546807007952,micro_f1,0.0005,0.01,2,0.5
48,0.5243888547148748,micro_f1,0.0005,0.01,3,0.1
49,0.5243660720388217,micro_f1,0.0005,0.01,3,0.3
50,0.5243888547148748,micro_f1,0.0005,0.01,3,0.5
51,0.5242635499965825,micro_f1,0.0005,0.01,4,0.1
52,0.5243660720388217,micro_f1,0.0005,0.01,4,0.3
53,0.5244002460529014,micro_f1,0.0005,0.01,4,0.5
54,0.5243432893627685,micro_f1,0.001,0.001,2,0.1
55,0.5218941516870571,micro_f1,0.001,0.001,2,0.3
56,0.5233294602784043,micro_f1,0.001,0.001,2,0.5
57,0.5208119745745335,micro_f1,0.001,0.001,3,0.1
58,0.5197070147859567,micro_f1,0.001,0.001,3,0.3
59,0.5195361447155583,micro_f1,0.001,0.001,3,0.5
60,0.5201057116168865,micro_f1,0.001,0.001,4,0.1
61,0.5163579614061468,micro_f1,0.001,0.001,4,0.3
62,0.5177818786594673,micro_f1,0.001,0.001,4,0.5
63,0.5219738910532431,micro_f1,0.001,0.005,2,0.1
64,0.5226573713348369,micro_f1,0.001,0.005,2,0.3
65,0.5236939830952544,micro_f1,0.001,0.005,2,0.5
66,0.5225092839404916,micro_f1,0.001,0.005,3,0.1
67,0.5228510240812886,micro_f1,0.001,0.005,3,0.3
68,0.5242179846444763,micro_f1,0.001,0.005,3,0.5
69,0.5207322352083475,micro_f1,0.001,0.005,4,0.1
70,0.5222017178137744,micro_f1,0.001,0.005,4,0.3
71,0.5256077278837172,micro_f1,0.001,0.005,4,0.5
72,0.5243774633768482,micro_f1,0.001,0.01,2,0.1
73,0.5243432893627685,micro_f1,0.001,0.01,2,0.3
74,0.5237737224614404,micro_f1,0.001,0.01,2,0.5
75,0.5220878044335088,micro_f1,0.001,0.01,3,0.1
76,0.5245369421092202,micro_f1,0.001,0.01,3,0.3
77,0.5244685940810607,micro_f1,0.001,0.01,3,0.5
78,0.5229991114756339,micro_f1,0.001,0.01,4,0.1
79,0.5245369421092202,micro_f1,0.001,0.01,4,0.3
80,0.5244002460529014,micro_f1,0.001,0.01,4,0.5
81,0.5247305948556718,micro_f1,0.005,0.001,2,0.1
82,0.5251520743626547,micro_f1,0.005,0.001,2,0.3
83,0.5257330326020094,micro_f1,0.005,0.001,2,0.5
84,0.5244913767571139,micro_f1,0.005,0.001,3,0.1
85,0.5235686783769622,micro_f1,0.005,0.001,3,0.3
86,0.5249470302781765,micro_f1,0.005,0.001,3,0.5
87,0.523363634292484,micro_f1,0.005,0.001,4,0.1
88,0.5253571184471327,micro_f1,0.005,0.001,4,0.3
89,0.5256646845738501,micro_f1,0.005,0.001,4,0.5
90,0.5244799854190874,micro_f1,0.005,0.005,2,0.1
91,0.5245711161232999,micro_f1,0.005,0.005,2,0.3
92,0.5253912924612125,micro_f1,0.005,0.005,2,0.5
93,0.524149636616317,micro_f1,0.005,0.005,3,0.1
94,0.5250951176725218,micro_f1,0.005,0.005,3,0.3
95,0.5258127719681954,micro_f1,0.005,0.005,3,0.5
96,0.5240357232360512,micro_f1,0.005,0.005,4,0.1
97,0.5246622468275124,micro_f1,0.005,0.005,4,0.3
98,0.5260519900667532,micro_f1,0.005,0.005,4,0.5
99,0.525038160982389,micro_f1,0.005,0.01,2,0.1
100,0.5251862483767343,micro_f1,0.005,0.01,2,0.3
101,0.5255165971795047,micro_f1,0.005,0.01,2,0.5
102,0.5244572027430342,micro_f1,0.005,0.01,3,0.1
103,0.5255507711935844,micro_f1,0.005,0.01,3,0.3
104,0.5252545964048937,micro_f1,0.005,0.01,3,0.5
105,0.524434420066981,micro_f1,0.005,0.01,4,0.1
106,0.5260178160526735,micro_f1,0.005,0.01,4,0.3
107,0.5263025995033376,micro_f1,0.005,0.01,4,0.5
108,0.525220422390814,micro_f1,0.01,0.001,2,0.1
109,0.5253229444330532,micro_f1,0.01,0.001,2,0.3
110,0.5257558152780626,micro_f1,0.01,0.001,2,0.5
111,0.5233408516164308,micro_f1,0.01,0.001,3,0.1
112,0.5249014649260703,micro_f1,0.01,0.001,3,0.3
113,0.5259494680245141,micro_f1,0.01,0.001,3,0.5
114,0.5237509397853871,micro_f1,0.01,0.001,4,0.1
115,0.5243888547148748,micro_f1,0.01,0.001,4,0.3
116,0.5253343357710797,micro_f1,0.01,0.001,4,0.5
117,0.5245597247852732,micro_f1,0.01,0.005,2,0.1
118,0.5250609436584421,micro_f1,0.01,0.005,2,0.3
119,0.5259380766864875,micro_f1,0.01,0.005,2,0.5
120,0.5251065090105483,micro_f1,0.01,0.005,3,0.1
121,0.525117900348575,micro_f1,0.01,0.005,3,0.3
122,0.5255165971795047,micro_f1,0.01,0.005,3,0.5
123,0.5250039869683093,micro_f1,0.01,0.005,4,0.1
124,0.5256077278837171,micro_f1,0.01,0.005,4,0.3
125,0.5248445082359373,micro_f1,0.01,0.005,4,0.5
126,0.5248786822500171,micro_f1,0.01,0.01,2,0.1
127,0.5252659877429203,micro_f1,0.01,0.01,2,0.3
128,0.5256077278837171,micro_f1,0.01,0.01,2,0.5
129,0.5247192035176451,micro_f1,0.01,0.01,3,0.1
130,0.5248217255598843,micro_f1,0.01,0.01,3,0.3
131,0.5256646845738501,micro_f1,0.01,0.01,3,0.5
132,0.5257102499259564,micro_f1,0.01,0.01,4,0.1
133,0.5249925956302827,micro_f1,0.01,0.01,4,0.3
134,0.5252090310527875,micro_f1,0.01,0.01,4,0.5
