config_id,avg_score,metric,lr,weight_decay,num_layers,dropout_ratio
0,0.6010987252653476,micro_f1,0.0001,0.001,2,0.1
1,0.6010987252653475,micro_f1,0.0001,0.001,2,0.3
2,0.6010898359023593,micro_f1,0.0001,0.001,2,0.5
3,0.6010898359023593,micro_f1,0.0001,0.001,3,0.1
4,0.6011253933543123,micro_f1,0.0001,0.001,3,0.3
5,0.6011076146283357,micro_f1,0.0001,0.001,3,0.5
6,0.6011253933543123,micro_f1,0.0001,0.001,4,0.1
7,0.6010898359023593,micro_f1,0.0001,0.001,4,0.3
8,0.6010987252653475,micro_f1,0.0001,0.001,4,0.5
9,0.6010809465393709,micro_f1,0.0001,0.005,2,0.1
10,0.601116503991324,micro_f1,0.0001,0.005,2,0.3
11,0.601116503991324,micro_f1,0.0001,0.005,2,0.5
12,0.6011253933543123,micro_f1,0.0001,0.005,3,0.1
13,0.6011253933543123,micro_f1,0.0001,0.005,3,0.3
14,0.6011253933543123,micro_f1,0.0001,0.005,3,0.5
15,0.601116503991324,micro_f1,0.0001,0.005,4,0.1
16,0.6011076146283357,micro_f1,0.0001,0.005,4,0.3
17,0.601116503991324,micro_f1,0.0001,0.005,4,0.5
18,0.6011253933543123,micro_f1,0.0001,0.01,2,0.1
19,0.6011253933543123,micro_f1,0.0001,0.01,2,0.3
20,0.6011076146283357,micro_f1,0.0001,0.01,2,0.5
21,0.6011076146283357,micro_f1,0.0001,0.01,3,0.1
22,0.601116503991324,micro_f1,0.0001,0.01,3,0.3
23,0.601116503991324,micro_f1,0.0001,0.01,3,0.5
24,0.6011076146283357,micro_f1,0.0001,0.01,4,0.1
25,0.601116503991324,micro_f1,0.0001,0.01,4,0.3
26,0.601116503991324,micro_f1,0.0001,0.01,4,0.5
27,0.6011253933543123,micro_f1,0.0005,0.001,2,0.1
28,0.6011253933543123,micro_f1,0.0005,0.001,2,0.3
29,0.6011342827173004,micro_f1,0.0005,0.001,2,0.5
30,0.6011253933543123,micro_f1,0.0005,0.001,3,0.1
31,0.6011342827173004,micro_f1,0.0005,0.001,3,0.3
32,0.6011609508062653,micro_f1,0.0005,0.001,3,0.5
33,0.5998453250840045,micro_f1,0.0005,0.001,4,0.1
34,0.600903159279606,micro_f1,0.0005,0.001,4,0.3
35,0.6011965082582181,micro_f1,0.0005,0.001,4,0.5
36,0.6011076146283357,micro_f1,0.0005,0.005,2,0.1
37,0.6011253933543123,micro_f1,0.0005,0.005,2,0.3
38,0.6011253933543123,micro_f1,0.0005,0.005,2,0.5
39,0.6011342827173004,micro_f1,0.0005,0.005,3,0.1
40,0.6005031379451348,micro_f1,0.0005,0.005,3,0.3
41,0.6011609508062653,micro_f1,0.0005,0.005,3,0.5
42,0.6009564954575355,micro_f1,0.0005,0.005,4,0.1
43,0.601116503991324,micro_f1,0.0005,0.005,4,0.3
44,0.6011253933543123,micro_f1,0.0005,0.005,4,0.5
45,0.6011253933543123,micro_f1,0.0005,0.01,2,0.1
46,0.6011253933543123,micro_f1,0.0005,0.01,2,0.3
47,0.601116503991324,micro_f1,0.0005,0.01,2,0.5
48,0.6011253933543123,micro_f1,0.0005,0.01,3,0.1
49,0.6011253933543123,micro_f1,0.0005,0.01,3,0.3
50,0.6011076146283357,micro_f1,0.0005,0.01,3,0.5
51,0.6010987252653475,micro_f1,0.0005,0.01,4,0.1
52,0.6011253933543123,micro_f1,0.0005,0.01,4,0.3
53,0.6011076146283357,micro_f1,0.0005,0.01,4,0.5
54,0.5997653208171103,micro_f1,0.001,0.001,2,0.1
55,0.6006631464789234,micro_f1,0.001,0.001,2,0.3
56,0.601907657297278,micro_f1,0.001,0.001,2,0.5
57,0.5977829928707309,micro_f1,0.001,0.001,3,0.1
58,0.601223176347183,micro_f1,0.001,0.001,3,0.3
59,0.6010187209984532,micro_f1,0.001,0.001,3,0.5
60,0.598147456753249,micro_f1,0.001,0.001,4,0.1
61,0.5986008142656497,micro_f1,0.001,0.001,4,0.3
62,0.6009298273685708,micro_f1,0.001,0.001,4,0.5
63,0.6006720358419115,micro_f1,0.001,0.005,2,0.1
64,0.6005298060340997,micro_f1,0.001,0.005,2,0.3
65,0.6011609508062652,micro_f1,0.001,0.005,2,0.5
66,0.600689814567888,micro_f1,0.001,0.005,3,0.1
67,0.6017743168524543,micro_f1,0.001,0.005,3,0.3
68,0.6013920742439597,micro_f1,0.001,0.005,3,0.5
69,0.6014009636069478,micro_f1,0.001,0.005,4,0.1
70,0.6005386953970878,micro_f1,0.001,0.005,4,0.3
71,0.6008853805536295,micro_f1,0.001,0.005,4,0.5
72,0.6011253933543123,micro_f1,0.001,0.01,2,0.1
73,0.6008142656497236,micro_f1,0.001,0.01,2,0.3
74,0.6008764911906413,micro_f1,0.001,0.01,2,0.5
75,0.5994630824755097,micro_f1,0.001,0.01,3,0.1
76,0.6012409550731594,micro_f1,0.001,0.01,3,0.3
77,0.6012231763471829,micro_f1,0.001,0.01,3,0.5
78,0.5996675378242395,micro_f1,0.001,0.01,4,0.1
79,0.601080946539371,micro_f1,0.001,0.01,4,0.3
80,0.6011253933543123,micro_f1,0.001,0.01,4,0.5
81,0.6036321937169983,micro_f1,0.005,0.001,2,0.1
82,0.6040411044144577,micro_f1,0.005,0.001,2,0.3
83,0.6054367344036127,micro_f1,0.005,0.001,2,0.5
84,0.6012053976212065,micro_f1,0.005,0.001,3,0.1
85,0.6005298060340997,micro_f1,0.005,0.001,3,0.3
86,0.6037833128877984,micro_f1,0.005,0.001,3,0.5
87,0.6002097889665227,micro_f1,0.005,0.001,4,0.1
88,0.6005475847600761,micro_f1,0.005,0.001,4,0.3
89,0.6038277597027397,micro_f1,0.005,0.001,4,0.5
90,0.6041922235852579,micro_f1,0.005,0.005,2,0.1
91,0.6042455597631874,micro_f1,0.005,0.005,2,0.3
92,0.6044322363859406,micro_f1,0.005,0.005,2,0.5
93,0.6035610788130922,micro_f1,0.005,0.005,3,0.1
94,0.6041744448592814,micro_f1,0.005,0.005,3,0.3
95,0.6041211086813519,micro_f1,0.005,0.005,3,0.5
96,0.6034899639091863,micro_f1,0.005,0.005,4,0.1
97,0.6032766191974682,micro_f1,0.005,0.005,4,0.3
98,0.6024143509876082,micro_f1,0.005,0.005,4,0.5
99,0.6040677725034224,micro_f1,0.005,0.01,2,0.1
100,0.6044500151119171,micro_f1,0.005,0.01,2,0.3
101,0.6038277597027397,micro_f1,0.005,0.01,2,0.5
102,0.6030810532117269,micro_f1,0.005,0.01,3,0.1
103,0.602654363788291,micro_f1,0.005,0.01,3,0.3
104,0.6033921809163155,micro_f1,0.005,0.01,3,0.5
105,0.6035433000871158,micro_f1,0.005,0.01,4,0.1
106,0.6040677725034224,micro_f1,0.005,0.01,4,0.3
107,0.603765534161822,micro_f1,0.005,0.01,4,0.5
108,0.6026988106032322,micro_f1,0.01,0.001,2,0.1
109,0.6048500364463882,micro_f1,0.01,0.001,2,0.3
110,0.60519672160293,micro_f1,0.01,0.001,2,0.5
111,0.6014809678738421,micro_f1,0.01,0.001,3,0.1
112,0.6021121126460077,micro_f1,0.01,0.001,3,0.3
113,0.6052322790548829,micro_f1,0.01,0.001,3,0.5
114,0.6010187209984532,micro_f1,0.01,0.001,4,0.1
115,0.6022543424538198,micro_f1,0.01,0.001,4,0.3
116,0.6042544491261755,micro_f1,0.01,0.001,4,0.5
117,0.6045744661937525,micro_f1,0.01,0.005,2,0.1
118,0.6048678151723648,micro_f1,0.01,0.005,2,0.3
119,0.6053656194997067,micro_f1,0.01,0.005,2,0.5
120,0.6039966575995164,micro_f1,0.01,0.005,3,0.1
121,0.6044766832008818,micro_f1,0.01,0.005,3,0.3
122,0.6048855938983412,micro_f1,0.01,0.005,3,0.5
123,0.6041477767703167,micro_f1,0.01,0.005,4,0.1
124,0.6037121979838925,micro_f1,0.01,0.005,4,0.3
125,0.603694419257916,micro_f1,0.01,0.005,4,0.5
126,0.6045655768307644,micro_f1,0.01,0.01,2,0.1
127,0.6044411257489287,micro_f1,0.01,0.01,2,0.3
128,0.6044322363859407,micro_f1,0.01,0.01,2,0.5
129,0.6042277810372109,micro_f1,0.01,0.01,3,0.1
130,0.6042633384891639,micro_f1,0.01,0.01,3,0.3
131,0.6033121766494213,micro_f1,0.01,0.01,3,0.5
132,0.604049993777446,micro_f1,0.01,0.01,4,0.1
133,0.6035788575390687,micro_f1,0.01,0.01,4,0.3
134,0.6037121979838925,micro_f1,0.01,0.01,4,0.5
