config_id,avg_score,metric,lr,weight_decay,num_layers,dropout_ratio
0,0.8515517924039838,micro_f1,0.0001,0.001,2,0.1
1,0.8514299637559772,micro_f1,0.0001,0.001,2,0.3
2,0.8515010304673144,micro_f1,0.0001,0.001,2,0.5
3,0.8514908780799805,micro_f1,0.0001,0.001,3,0.1
4,0.8515416400166499,micro_f1,0.0001,0.001,3,0.3
5,0.8515111828546483,micro_f1,0.0001,0.001,3,0.5
6,0.8515517924039838,micro_f1,0.0001,0.001,4,0.1
7,0.8515517924039838,micro_f1,0.0001,0.001,4,0.3
8,0.8515213352419821,micro_f1,0.0001,0.001,4,0.5
9,0.8515213352419821,micro_f1,0.0001,0.005,2,0.1
10,0.8515010304673144,micro_f1,0.0001,0.005,2,0.3
11,0.8514908780799805,micro_f1,0.0001,0.005,2,0.5
12,0.8514908780799805,micro_f1,0.0001,0.005,3,0.1
13,0.8514705733053128,micro_f1,0.0001,0.005,3,0.3
14,0.8515010304673144,micro_f1,0.0001,0.005,3,0.5
15,0.8515010304673144,micro_f1,0.0001,0.005,4,0.1
16,0.8515010304673144,micro_f1,0.0001,0.005,4,0.3
17,0.851450268530645,micro_f1,0.0001,0.005,4,0.5
18,0.8515213352419821,micro_f1,0.0001,0.01,2,0.1
19,0.85154164001665,micro_f1,0.0001,0.01,2,0.3
20,0.8515314876293161,micro_f1,0.0001,0.01,2,0.5
21,0.8514908780799805,micro_f1,0.0001,0.01,3,0.1
22,0.8515416400166499,micro_f1,0.0001,0.01,3,0.3
23,0.8515517924039838,micro_f1,0.0001,0.01,3,0.5
24,0.8515416400166499,micro_f1,0.0001,0.01,4,0.1
25,0.8515314876293161,micro_f1,0.0001,0.01,4,0.3
26,0.8515416400166499,micro_f1,0.0001,0.01,4,0.5
27,0.8515416400166499,micro_f1,0.0005,0.001,2,0.1
28,0.8514705733053128,micro_f1,0.0005,0.001,2,0.3
29,0.8515517924039838,micro_f1,0.0005,0.001,2,0.5
30,0.8515314876293161,micro_f1,0.0005,0.001,3,0.1
31,0.824962689976548,micro_f1,0.0005,0.001,3,0.3
32,0.8515517924039838,micro_f1,0.0005,0.001,3,0.5
33,0.8131859206692454,micro_f1,0.0005,0.001,4,0.1
34,0.8415009289434411,micro_f1,0.0005,0.001,4,0.3
35,0.85154164001665,micro_f1,0.0005,0.001,4,0.5
36,0.8514807256926468,micro_f1,0.0005,0.005,2,0.1
37,0.85154164001665,micro_f1,0.0005,0.005,2,0.3
38,0.8514604209179789,micro_f1,0.0005,0.005,2,0.5
39,0.8515010304673144,micro_f1,0.0005,0.005,3,0.1
40,0.8470441324277403,micro_f1,0.0005,0.005,3,0.3
41,0.847247180174418,micro_f1,0.0005,0.005,3,0.5
42,0.8280997776627174,micro_f1,0.0005,0.005,4,0.1
43,0.8486279048518259,micro_f1,0.0005,0.005,4,0.3
44,0.8515416400166499,micro_f1,0.0005,0.005,4,0.5
45,0.8515517924039838,micro_f1,0.0005,0.01,2,0.1
46,0.8515517924039838,micro_f1,0.0005,0.01,2,0.3
47,0.8515314876293161,micro_f1,0.0005,0.01,2,0.5
48,0.85154164001665,micro_f1,0.0005,0.01,3,0.1
49,0.8515517924039838,micro_f1,0.0005,0.01,3,0.3
50,0.8515517924039838,micro_f1,0.0005,0.01,3,0.5
51,0.8515517924039838,micro_f1,0.0005,0.01,4,0.1
52,0.8515416400166499,micro_f1,0.0005,0.01,4,0.3
53,0.8515517924039838,micro_f1,0.0005,0.01,4,0.5
54,0.8075310409242734,micro_f1,0.001,0.001,2,0.1
